year,total,2-for-1,3-for-1,4-for-1,5-for-1+,other
2000,146,95,15,6,1,25
2001,84,40,2,1,8,27
2002,62,34,3,2,1,22
2003,56,27,8,3,1,16
2004,125,74,6,2,2,40
2005,152,106,12,1,2,29
2006,116,72,9,7,3,25
2007,103,75,4,0,3,21
2008,53,31,10,0,5,7
2009,14,7,1,0,3,2
2010,52,16,5,6,9,16
2011,83,49,5,7,8,14
2012,59,37,8,0,5,9
2013,78,46,9,2,8,13
2014,88,43,3,1,22,18
2015,87,44,4,19,6,14
2016,56,25,10,9,3,8
2017,77,41,14,5,3,14
2018,69,26,14,3,13,13
2019,25,12,3,0,5,5
2020,56,25,1,8,8,13
2021,83,26,10,11,24,11
2022,59,19,5,10,15,10
2023,70,23,16,3,16,12
2024,75,30,14,6,19,6
2025,40,18,3,5,10,4
